,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Orug|SGF77075,67.55463582594521,-3.1359774464239702,0.39915083066635104,-7.85662262355486,3.94629517430325e-15,3.37374794223484e-13
Orug|SGF69894,3645.30289690864,-1.66086825588326,0.211575749651761,-7.84999348279248,4.16058890486406e-15,3.5369680510338704e-13
Orug|SGF71468,1353.78825686305,-1.19911495340324,0.153342528071135,-7.81984599110677,5.2888002421001215e-15,4.4709567186289896e-13
Orug|SGF71976,73.4199878165121,-2.03084107762901,0.25989795810986605,-7.813993970550982,5.54037465123874e-15,4.657608290141371e-13
Orug|SGF61664,656.442208806494,-3.2495763566983302,0.4170632675825101,-7.79156691389863,6.61832477741185e-15,5.533065775237349e-13
Orug|SGF68512,178.733244318628,-2.78921904926233,0.358593134149916,-7.77822770052325,7.354760482354909e-15,6.11495800104365e-13
Orug|SGF73835,125.31928465169202,-3.73166563149312,0.480011654197309,-7.77411464672318,7.59769056335095e-15,6.282418229761021e-13
Orug|SGF61779,9498.52273054897,-1.61031051598221,0.207331116429893,-7.76685402418465,8.045947971740781e-15,6.61691764719464e-13
Orug|SGF80809,526.921077175185,-1.21915640474941,0.157133212575459,-7.758744219424268,8.57744421254196e-15,7.01588572022621e-13
Orug|SGF62555,581.668532883819,-0.823408785313821,0.106174668773474,-7.755228199209959,8.81847573517057e-15,7.17425671100006e-13
Orug|SGF62282,1292.51574253107,-3.22302797517283,0.415705881823652,-7.75314499047689,8.96441641333444e-15,7.253986586447951e-13
Orug|SGF78365,846.863214686125,-2.64225165036534,0.34150456591946304,-7.73709025895853,1.01717850054498e-14,8.18720482459925e-13
Orug|SGF64807,128.009338837024,-2.12712980605884,0.275385021654083,-7.72420298417963,1.12555359818533e-14,8.970757420531021e-13
Orug|SGF65023,1526.5289640783099,-2.15231661894448,0.27864917532793,-7.72410905724557,1.1263837628211e-14,8.970757420531021e-13
Orug|SGF65902,356.348546917352,-2.45666428726393,0.31868632089394705,-7.70872210759702,1.2708379484978301e-14,1.00682302809786e-12
Orug|SGF86100,168.976924383938,-2.55977345229763,0.332405986300931,-7.700744143579401,1.35276110542135e-14,1.0661448462102e-12
Orug|SGF69408,1216.51796547166,-0.700602491586055,0.0909879337314829,-7.69994946421823,1.3612005328667601e-14,1.06723764058755e-12
Orug|SGF85345,13215.3755342933,-0.724822660686958,0.0942427747097363,-7.69101570830634,1.45971509110837e-14,1.13857777106453e-12
Orug|SGF81929,446.439912896794,-1.07372962587405,0.13987280473643898,-7.67647169081412,1.63530172419515e-14,1.26899413797544e-12
Orug|SGF86092,2258.16642235758,0.61531924560064,0.0803799649915559,7.65513204273329,1.9311371610985905e-14,1.49091671029305e-12
